# POINT,X,Y_CALC,Y_IN,DIFF,POINT1
6.300000000000000000e+01,3.287449889999999897e+01,8.469507999999999370e+00,8.447886499999999188e+00,2.162149999999999836e-02,6.300000000000000000e+01
6.400000000000000000e+01,3.950885869999999755e+01,9.337134300000000664e+00,9.319594499999999115e+00,1.753980000000000122e-02,6.400000000000000000e+01
6.500000000000000000e+01,4.721542349999999999e+01,1.022846589999999978e+01,1.021293129999999927e+01,1.553460000000000084e-02,6.500000000000000000e+01
6.600000000000000000e+01,5.606339059999999819e+01,1.112553740000000069e+01,1.111436420000000069e+01,1.117319999999999945e-02,6.600000000000000000e+01
6.700000000000000000e+01,6.609361199999999315e+01,1.201679719999999918e+01,1.200918129999999984e+01,7.615900000000000100e-03,6.700000000000000000e+01
6.800000000000000000e+01,7.731139860000000397e+01,1.288743919999999932e+01,1.288256600000000063e+01,4.873200000000000275e-03,6.800000000000000000e+01
6.900000000000000000e+01,8.968464729999999463e+01,1.372021720000000045e+01,1.372021720000000045e+01,0.000000000000000000e+00,6.900000000000000000e+01
7.000000000000000000e+01,1.031348684000000020e+02,1.451033089999999959e+01,1.450941620000000043e+01,9.146999999999999532e-04,7.000000000000000000e+01
7.100000000000000000e+01,1.175443238000000008e+02,1.524094430000000067e+01,1.523954980000000070e+01,1.394599999999999963e-03,7.100000000000000000e+01
7.200000000000000000e+01,1.327516416999999933e+02,1.590282400000000074e+01,1.590282400000000074e+01,0.000000000000000000e+00,7.200000000000000000e+01
7.300000000000000000e+01,1.485667008000000067e+02,1.649439680000000052e+01,1.649439680000000052e+01,0.000000000000000000e+00,7.300000000000000000e+01
7.400000000000000000e+01,1.647721846000000028e+02,1.701253750000000053e+01,1.701253750000000053e+01,0.000000000000000000e+00,7.400000000000000000e+01
7.500000000000000000e+01,1.811402093000000093e+02,1.745827570000000151e+01,1.745827570000000151e+01,0.000000000000000000e+00,7.500000000000000000e+01
7.600000000000000000e+01,1.974429366999999900e+02,1.783508649999999918e+01,1.783508649999999918e+01,0.000000000000000000e+00,7.600000000000000000e+01
7.700000000000000000e+01,2.134627681000000052e+02,1.814823769999999925e+01,1.814823769999999925e+01,0.000000000000000000e+00,7.700000000000000000e+01
7.800000000000000000e+01,2.290031970000000001e+02,1.840426920000000166e+01,1.840426920000000166e+01,0.000000000000000000e+00,7.800000000000000000e+01
7.900000000000000000e+01,2.438954899000000012e+02,1.861032600000000059e+01,1.861032600000000059e+01,0.000000000000000000e+00,7.900000000000000000e+01
8.000000000000000000e+01,2.580061948000000029e+02,1.877371460000000170e+01,1.877371460000000170e+01,0.000000000000000000e+00,8.000000000000000000e+01
8.100000000000000000e+01,2.712347586999999862e+02,1.890143300000000082e+01,1.890143300000000082e+01,0.000000000000000000e+00,8.100000000000000000e+01
8.200000000000000000e+01,2.835166351999999961e+02,1.899994429999999923e+01,1.899994429999999923e+01,0.000000000000000000e+00,8.200000000000000000e+01
8.300000000000000000e+01,2.948184671000000208e+02,1.907495159999999856e+01,1.907495159999999856e+01,0.000000000000000000e+00,8.300000000000000000e+01
8.400000000000000000e+01,3.051352059000000168e+02,1.913137719999999931e+01,1.913137719999999931e+01,0.000000000000000000e+00,8.400000000000000000e+01
8.500000000000000000e+01,3.144844555999999898e+02,1.917331769999999835e+01,1.917331769999999835e+01,0.000000000000000000e+00,8.500000000000000000e+01
8.600000000000000000e+01,3.229018553000000225e+02,1.920413999999999888e+01,1.920413999999999888e+01,0.000000000000000000e+00,8.600000000000000000e+01
8.700000000000000000e+01,3.304359287999999992e+02,1.922652469999999880e+01,1.922652469999999880e+01,0.000000000000000000e+00,8.700000000000000000e+01
8.800000000000000000e+01,3.371443292000000156e+02,1.924259740000000107e+01,1.924259740000000107e+01,0.000000000000000000e+00,8.800000000000000000e+01
8.900000000000000000e+01,3.430894498999999769e+02,1.925399140000000031e+01,1.925399140000000031e+01,0.000000000000000000e+00,8.900000000000000000e+01
9.000000000000000000e+01,3.483360518999999726e+02,1.926196829999999949e+01,1.926196829999999949e+01,0.000000000000000000e+00,9.000000000000000000e+01
9.100000000000000000e+01,3.529485720999999785e+02,1.926746879999999962e+01,1.926746879999999962e+01,0.000000000000000000e+00,9.100000000000000000e+01
9.200000000000000000e+01,3.569900819000000070e+02,1.927120550000000065e+01,1.927120550000000065e+01,0.000000000000000000e+00,9.200000000000000000e+01
9.300000000000000000e+01,3.605204347000000098e+02,1.927369440000000012e+01,1.927369440000000012e+01,0.000000000000000000e+00,9.300000000000000000e+01
9.400000000000000000e+01,3.635965803999999935e+02,1.927532090000000053e+01,1.927532090000000053e+01,0.000000000000000000e+00,9.400000000000000000e+01
9.500000000000000000e+01,3.662715673000000152e+02,1.927635499999999880e+01,1.927635499999999880e+01,0.000000000000000000e+00,9.500000000000000000e+01
9.600000000000000000e+01,3.685952037000000132e+02,1.927699559999999934e+01,1.927699559999999934e+01,0.000000000000000000e+00,9.600000000000000000e+01
9.700000000000000000e+01,3.706138632999999913e+02,1.927737660000000020e+01,1.927737660000000020e+01,0.000000000000000000e+00,9.700000000000000000e+01
