# POINT,X,Y,Mach,FLOW_ANG__D,WALTAN,SECDIF
1.800000000000000000e+01,2.920575400000000044e-01,1.007415699999999914e+00,1.212131400000000081e+00,2.794621199999999916e+00,4.881405800000000045e-02,1.675831899999999930e-01
1.900000000000000000e+01,3.124587899999999863e-01,1.008446200000000070e+00,1.224328899999999942e+00,2.988600599999999829e+00,5.220827699999999738e-02,1.662538100000000019e-01
2.000000000000000000e+01,3.331613800000000070e-01,1.009562700000000035e+00,1.236531800000000070e+00,3.185090800000000222e+00,5.564765599999999673e-02,1.666840699999999897e-01
2.100000000000000000e+01,3.541956700000000180e-01,1.010769900000000110e+00,1.248759399999999964e+00,3.385987300000000033e+00,5.916551899999999975e-02,1.690400599999999920e-01
2.200000000000000000e+01,3.759279500000000107e-01,1.012095500000000037e+00,1.261864400000000108e+00,3.597991200000000056e+00,6.287946899999999339e-02,1.727130799999999911e-01
2.300000000000000000e+01,3.984017200000000147e-01,1.013552400000000020e+00,1.275722100000000081e+00,3.821864300000000103e+00,6.680322299999999491e-02,1.756023499999999904e-01
2.400000000000000000e+01,4.213398700000000052e-01,1.015131000000000006e+00,1.289677799999999985e+00,4.052910800000000258e+00,7.085485599999999384e-02,1.767589900000000047e-01
2.500000000000000000e+01,4.448131000000000168e-01,1.016843100000000000e+00,1.303852100000000069e+00,4.289551499999999962e+00,7.500698799999999666e-02,1.762353899999999918e-01
2.600000000000000000e+01,4.693984299999999776e-01,1.018740399999999990e+00,1.319745699999999911e+00,4.535376000000000296e+00,7.932298799999999706e-02,1.749117699999999942e-01
2.700000000000000000e+01,4.945988599999999735e-01,1.020794900000000061e+00,1.335822099999999901e+00,4.785318700000000369e+00,8.371430700000000169e-02,1.740263499999999963e-01
2.800000000000000000e+01,5.204533700000000263e-01,1.023017400000000077e+00,1.352102300000000090e+00,5.040875999999999912e+00,8.820759100000000186e-02,1.745030899999999996e-01
2.900000000000000000e+01,5.473724399999999601e-01,1.025454899999999947e+00,1.370014999999999983e+00,5.308964699999999759e+00,9.292500700000000391e-02,1.776768200000000131e-01
3.000000000000000000e+01,5.752509900000000176e-01,1.028114100000000031e+00,1.388688399999999934e+00,5.594197300000000261e+00,9.794860900000000592e-02,1.839503700000000019e-01
3.100000000000000000e+01,6.039586000000000121e-01,1.031001700000000021e+00,1.407665100000000002e+00,5.900024000000000157e+00,1.033403700000000008e-01,1.929681500000000050e-01
3.200000000000000000e+01,6.339498999999999551e-01,1.034187299999999921e+00,1.428757599999999961e+00,6.237053600000000309e+00,1.092891500000000016e-01,1.996732999999999980e-01
3.300000000000000000e+01,6.650028300000000447e-01,1.037679800000000041e+00,1.450619000000000103e+00,6.590285500000000241e+00,1.155321299999999968e-01,1.966759899999999950e-01
3.400000000000000000e+01,6.971230400000000271e-01,1.041492499999999932e+00,1.473387199999999897e+00,6.939017299999999722e+00,1.217043099999999961e-01,1.844722900000000110e-01
3.500000000000000000e+01,7.307453200000000315e-01,1.045690199999999903e+00,1.498651299999999909e+00,7.273685399999999746e+00,1.276361699999999932e-01,1.637496999999999980e-01
3.600000000000000000e+01,7.655756299999999515e-01,1.050236299999999900e+00,1.524447200000000002e+00,7.569246399999999930e+00,1.328822199999999953e-01,1.454678600000000044e-01
3.700000000000000000e+01,8.020493800000000340e-01,1.055173200000000033e+00,1.553724700000000070e+00,7.856701300000000110e+00,1.379912899999999887e-01,1.635357400000000128e-01
3.800000000000000000e+01,8.399245699999999815e-01,1.060503399999999985e+00,1.583939200000000103e+00,8.256444800000000583e+00,1.451079500000000133e-01,2.351786399999999944e-01
3.900000000000000000e+01,8.796422799999999986e-01,1.066448999999999980e+00,1.618251099999999942e+00,8.890052700000000030e+00,1.564179500000000000e-01,3.608769700000000191e-01
4.000000000000000000e+01,9.211481700000000439e-01,1.073232799999999987e+00,1.655588599999999966e+00,9.909457099999999130e+00,1.746980300000000041e-01,5.187915199999999505e-01
4.100000000000000000e+01,9.646293900000000310e-01,1.081341700000000072e+00,1.697220900000000032e+00,1.135540499999999930e+01,2.008255300000000021e-01,6.535075500000000481e-01
4.200000000000000000e+01,1.010374899999999965e+00,1.091218400000000033e+00,1.745849599999999890e+00,1.312964999999999982e+01,2.332528600000000063e-01,7.318268399999999785e-01
4.300000000000000000e+01,1.058625499999999997e+00,1.103355800000000109e+00,1.806003699999999990e+00,1.509529599999999938e+01,2.697326299999999732e-01,7.305044499999999719e-01
4.400000000000000000e+01,1.109995199999999960e+00,1.118206299999999986e+00,1.904732199999999986e+00,1.700684899999999899e+01,3.058614000000000055e-01,6.263581999999999761e-01
4.500000000000000000e+01,1.188164900000000079e+00,1.144110299999999913e+00,2.318019200000000168e+00,1.906873699999999872e+01,3.456700999999999802e-01,4.070254700000000003e-01
4.600000000000000000e+01,1.258009600000000061e+00,1.169145199999999996e+00,2.366600200000000154e+00,2.018941399999999931e+01,3.677186000000000066e-01,2.806284499999999738e-01
4.700000000000000000e+01,1.429218300000000053e+00,1.235997000000000012e+00,2.481464200000000009e+00,2.185348000000000113e+01,4.010545999999999833e-01,1.429300699999999924e-01
4.800000000000000000e+01,1.690099199999999913e+00,1.344832299999999980e+00,2.639437099999999869e+00,2.267316699999999940e+01,4.177588999999999886e-01,3.537533100000000291e-02
4.900000000000000000e+01,2.039090999999999987e+00,1.490895199999999976e+00,2.831395099999999942e+00,2.262279399999999896e+01,4.167266700000000212e-01,-9.691291799999999720e-03
5.000000000000000000e+01,2.483321199999999784e+00,1.674999099999999963e+00,3.050954799999999967e+00,2.222561100000000067e+01,4.086139699999999930e-01,-2.265848200000000062e-02
5.100000000000000000e+01,3.035630499999999898e+00,1.896684199999999931e+00,3.295509800000000045e+00,2.145883399999999952e+01,3.930807399999999840e-01,-2.789789900000000031e-02
5.200000000000000000e+01,3.715300300000000000e+00,2.156909100000000024e+00,3.564968700000000101e+00,2.052130800000000121e+01,3.743086099999999861e-01,-2.532482499999999873e-02
5.300000000000000000e+01,4.547177500000000094e+00,2.459571299999999905e+00,3.860362799999999872e+00,1.957425900000000141e+01,3.555778299999999836e-01,-2.085530000000000023e-02
5.400000000000000000e+01,5.563504499999999631e+00,2.810707600000000195e+00,4.183656000000000041e+00,1.859522600000000025e+01,3.364444300000000165e-01,-1.794439600000000135e-02
5.500000000000000000e+01,6.805020999999999987e+00,3.214682199999999934e+00,4.535346099999999936e+00,1.751065499999999986e+01,3.155032500000000129e-01,-1.595536100000000124e-02
5.600000000000000000e+01,8.320566799999999930e+00,3.674554500000000168e+00,4.918307200000000101e+00,1.633108700000000013e+01,2.930095200000000233e-01,-1.390342999999999961e-02
5.700000000000000000e+01,1.017001699999999964e+01,4.192927700000000257e+00,5.333139799999999653e+00,1.507828100000000049e+01,2.694140899999999950e-01,-1.187388500000000069e-02
5.800000000000000000e+01,1.242297600000000024e+01,4.770071299999999681e+00,5.781619199999999736e+00,1.377113199999999971e+01,2.450893899999999903e-01,-9.879859200000000452e-03
5.900000000000000000e+01,1.515999200000000080e+01,5.404036299999999571e+00,6.263770599999999966e+00,1.246734999999999971e+01,2.210968799999999956e-01,-7.851608700000000177e-03
