# POINT,X_over_YO,Y_over_YO,INT_Y_over_YO,PAR_over_YO,HYP_over_YO,C_Y,C_YI,C_YP
3.900000000000000000e+01,8.793647999999999465e-01,1.066112600000000077e+00,1.100246899999999917e+00,1.064440199999999948e+00,1.062487799999999982e+00,-2.459427000000000141e-03,-5.265713999999999811e-02,-4.249056000000000187e-03
4.000000000000000000e+01,9.208576000000000539e-01,1.072894199999999909e+00,1.107101099999999949e+00,1.070664899999999919e+00,1.068330400000000013e+00,-2.854919000000000033e-03,-4.666119999999999990e-02,-8.342099000000000389e-03
4.100000000000000000e+01,9.643251000000000461e-01,1.081000500000000031e+00,1.114752500000000035e+00,1.077493599999999940e+00,1.074703299999999917e+00,-3.910740999999999697e-03,-4.154896000000000283e-02,-1.437563000000000035e-02
4.200000000000000000e+01,1.010056199999999960e+00,1.090874099999999958e+00,1.123372299999999990e+00,1.085017799999999921e+00,1.081681799999999916e+00,-5.683169000000000068e-03,-3.722029999999999783e-02,-2.120802999999999924e-02
4.300000000000000000e+01,1.058291599999999999e+00,1.103007700000000035e+00,1.133224900000000090e+00,1.093331800000000076e+00,1.089340900000000056e+00,-8.163549000000000846e-03,-3.365752999999999800e-02,-2.778341999999999964e-02
4.400000000000000000e+01,1.109644999999999992e+00,1.117853500000000055e+00,1.144810799999999906e+00,1.102609299999999903e+00,1.097824499999999981e+00,-1.115713999999999942e-02,-3.088698999999999958e-02,-3.273489000000000260e-02
4.500000000000000000e+01,1.187789999999999901e+00,1.143749300000000080e+00,1.168911299999999986e+00,1.117570399999999964e+00,1.111368899999999993e+00,-1.562184999999999963e-02,-3.063685000000000019e-02,-3.489753999999999773e-02
4.600000000000000000e+01,1.257612699999999917e+00,1.168776400000000049e+00,1.196269999999999945e+00,1.131799100000000058e+00,1.124098899999999901e+00,-1.859061999999999867e-02,-3.241328000000000265e-02,-3.332438000000000067e-02
4.700000000000000000e+01,1.428767399999999910e+00,1.235607099999999958e+00,1.264344399999999924e+00,1.170114700000000063e+00,1.157682799999999901e+00,-2.245464000000000140e-02,-3.230750000000000288e-02,-2.660405999999999882e-02
4.800000000000000000e+01,1.689566099999999960e+00,1.344408100000000106e+00,1.369693300000000002e+00,1.237886100000000100e+00,1.214813700000000107e+00,-2.208581999999999906e-02,-2.732835000000000125e-02,-1.589983000000000021e-02
4.900000000000000000e+01,2.038447699999999863e+00,1.490424900000000052e+00,1.511598400000000009e+00,1.346272399999999925e+00,1.300978399999999979e+00,-1.701857999999999843e-02,-1.951831000000000052e-02,-6.175723000000000150e-03
5.000000000000000000e+01,2.482537799999999795e+00,1.674470700000000090e+00,1.690902499999999975e+00,1.513582800000000006e+00,1.423785700000000043e+00,-1.051563999999999971e-02,-1.158962000000000013e-02,2.781293000000000003e-04
5.100000000000000000e+01,3.034672899999999895e+00,1.896085800000000043e+00,1.909436700000000098e+00,1.767436599999999913e+00,1.592128500000000058e+00,-4.603323000000000310e-03,-5.081043999999999838e-03,4.079166999999999862e-03
5.200000000000000000e+01,3.714128200000000213e+00,2.156228599999999940e+00,2.169331999999999816e+00,2.149562400000000206e+00,1.816349299999999944e+00,-1.301101999999999999e-04,-3.858582000000000049e-04,5.913185999999999963e-03
5.300000000000000000e+01,4.545742899999999587e+00,2.458795400000000075e+00,2.473417800000000000e+00,2.721981599999999890e+00,2.108070999999999806e+00,2.801872999999999864e-03,2.646203000000000184e-03,6.485519000000000353e-03
5.400000000000000000e+01,5.561749299999999785e+00,2.809820900000000066e+00,2.824610100000000124e+00,3.577754600000000007e+00,2.481029899999999788e+00,4.463644000000000119e-03,4.377680999999999586e-03,6.363352000000000071e-03
5.500000000000000000e+01,6.802874199999999760e+00,3.213668000000000191e+00,3.226351000000000191e+00,4.856591400000000114e+00,2.951810099999999881e+00,5.218432000000000279e-03,5.178147000000000132e-03,5.894014999999999845e-03
5.600000000000000000e+01,8.317941899999999222e+00,3.673395199999999861e+00,3.681661699999999815e+00,6.765679800000000021e+00,3.539966000000000168e+00,5.373184999999999940e-03,5.358820999999999724e-03,5.267347000000000348e-03
5.700000000000000000e+01,1.016680889999999948e+01,4.191604899999999745e+00,4.193207300000000082e+00,9.613666999999999518e+00,4.269348199999999594e+00,5.159534000000000342e-03,5.158008999999999858e-03,4.595585000000000121e-03
5.800000000000000000e+01,1.241905730000000041e+01,4.768566500000000374e+00,4.763295799999999858e+00,1.385274859999999997e+01,5.167736200000000224e+00,4.742638000000000409e-03,4.745389000000000031e-03,3.943717000000000229e-03
5.900000000000000000e+01,1.515520929999999922e+01,5.402331499999999842e+00,5.392036899999999910e+00,2.014003070000000051e+01,6.267380700000000360e+00,4.233932000000000147e-03,4.236888999999999759e-03,3.344896999999999888e-03
6.000000000000000000e+01,1.846630820000000028e+01,6.092214900000000100e+00,6.079629800000000195e+00,2.941704470000000171e+01,7.604872699999999597e+00,3.704062000000000153e-03,3.706061000000000077e-03,2.814197000000000053e-03
6.100000000000000000e+01,2.245204800000000134e+01,6.838350600000000057e+00,6.822328500000000240e+00,4.300787139999999908e+01,9.220398199999999989e+00,3.195765000000000151e-03,3.197180999999999895e-03,2.356851000000000085e-03
6.200000000000000000e+01,2.721580020000000033e+01,7.631617499999999943e+00,7.616362099999999913e+00,6.272498149999999839e+01,1.115571440000000081e+01,2.732977000000000149e-03,2.733733999999999817e-03,1.970199000000000169e-03
6.300000000000000000e+01,3.286412789999999973e+01,8.466836100000000087e+00,8.452989799999999221e+00,9.100424160000000029e+01,1.345393930000000005e+01,2.325329000000000111e-03,2.325718999999999963e-03,1.647250999999999967e-03
6.400000000000000000e+01,3.949639470000000330e+01,9.334188599999999170e+00,9.324075499999999295e+00,1.309970993999999962e+02,1.615531490000000048e+01,1.974629999999999788e-03,1.974795000000000109e-03,1.380148000000000095e-03
6.500000000000000000e+01,4.720052820000000082e+01,1.022523909999999958e+01,1.021584110000000045e+01,1.866574888000000101e+02,1.929546519999999887e+01,1.677789000000000060e-03,1.677878999999999959e-03,1.160701000000000094e-03
6.600000000000000000e+01,5.604570400000000063e+01,1.112202759999999913e+01,1.111665280000000067e+01,2.627600780999999870e+02,2.290240500000000168e+01,1.429385000000000031e-03,1.429415999999999977e-03,9.811184999999999611e-04
6.700000000000000000e+01,6.607276109999999392e+01,1.201300619999999952e+01,1.201003809999999916e+01,3.648008135000000038e+02,2.699262170000000083e+01,1.223055999999999926e-03,1.223066000000000084e-03,8.344445000000000031e-04
6.800000000000000000e+01,7.728700879999999529e+01,1.288337349999999937e+01,1.288280259999999977e+01,4.987734768999999915e+02,3.156813190000000091e+01,1.052491000000000017e-03,1.052493000000000048e-03,7.147638000000000429e-04
6.900000000000000000e+01,8.965635399999999322e+01,1.371588880000000010e+01,1.371922230000000020e+01,6.708551515000000336e+02,3.661571119999999979e+01,9.118306999999999975e-04,9.118260000000000210e-04,6.170289999999999499e-04
7.000000000000000000e+01,1.031023320000000041e+02,1.450575319999999913e+01,1.450786240000000049e+01,8.868409050999999863e+02,4.210322800000000143e+01,7.959355999999999896e-04,7.959335999999999581e-04,5.371186000000000450e-04
7.100000000000000000e+01,1.175072415000000063e+02,1.523613620000000068e+01,1.523702660000000009e+01,1.151662650900000017e+03,4.798255209999999948e+01,7.004020999999999598e-04,7.004016000000000061e-04,4.716443999999999867e-04
7.200000000000000000e+01,1.327097618999999895e+02,1.589780700000000024e+01,1.589982870000000048e+01,1.468656742299999905e+03,5.418776139999999941e+01,6.215627000000000044e-04,6.215618000000000228e-04,4.178575000000000019e-04
7.300000000000000000e+01,1.485198316999999975e+02,1.648919330000000016e+01,1.649069719999999961e+01,1.839178367799999933e+03,6.064121320000000281e+01,5.563643000000000494e-04,5.563639000000000214e-04,3.735367999999999978e-04
7.400000000000000000e+01,1.647202030999999920e+02,1.700717050000000086e+01,1.700848290000000063e+01,2.262062109800000144e+03,6.725417620000000340e+01,5.023268000000000438e-04,5.023265000000000499e-04,3.369083999999999946e-04
7.500000000000000000e+01,1.810830641000000014e+02,1.745276810000000012e+01,1.745372529999999855e+01,2.733589676600000075e+03,7.393361450000000445e+01,4.574232000000000016e-04,4.574229999999999876e-04,3.065400999999999825e-04
