# POINT,X,Y,Mach,FLOW_ANG__D,WALTAN,SECDIF
4.600000000000000000e+01,2.772945099999999911e+03,3.033659999999999854e+02,1.438460300000000025e+01,2.377112599999999798e+00,4.151226300000000063e-02,-1.902568600000000153e-05
4.700000000000000000e+01,3.144521999999999935e+03,3.174826299999999719e+02,1.484989400000000082e+01,2.006785499999999889e+00,3.503934400000000005e-02,-1.621777000000000041e-05
4.800000000000000000e+01,3.520258400000000165e+03,3.295266700000000242e+02,1.527970099999999931e+01,1.684157799999999927e+00,2.940256700000000098e-02,-1.404954700000000015e-05
4.900000000000000000e+01,3.893485000000000127e+03,3.395173399999999901e+02,1.567410500000000084e+01,1.404152199999999961e+00,2.451198699999999897e-02,-1.236554899999999947e-05
5.000000000000000000e+01,4.259227899999999863e+03,3.476737100000000282e+02,1.603346000000000160e+01,1.160302500000000014e+00,2.025386900000000073e-02,-1.102918599999999940e-05
5.100000000000000000e+01,4.611221599999999853e+03,3.541095100000000002e+02,1.635833399999999926e+01,9.498421700000000412e-01,1.657939199999999835e-02,-9.977060000000000323e-06
5.200000000000000000e+01,4.945471099999999751e+03,3.591101699999999823e+02,1.664947700000000097e+01,7.672132799999999975e-01,1.339119799999999999e-02,-9.118081199999999561e-06
5.300000000000000000e+01,5.256672400000000380e+03,3.628227299999999786e+02,1.690778600000000154e+01,6.116329000000000349e-01,1.067541299999999992e-02,-8.449302900000000503e-06
5.400000000000000000e+01,5.542248800000000301e+03,3.655426600000000121e+02,1.713429899999999861e+01,4.775611200000000056e-01,8.335206899999999391e-03,-7.872316599999999227e-06
5.500000000000000000e+01,5.798231999999999971e+03,3.674034800000000018e+02,1.733018099999999961e+01,3.663439000000000001e-01,6.393994400000000203e-03,-7.464224899999999734e-06
5.600000000000000000e+01,6.023732200000000375e+03,3.686714499999999930e+02,1.749673900000000160e+01,2.712634800000000013e-01,4.734476300000000151e-03,-7.030441200000000013e-06
5.700000000000000000e+01,6.216361299999999574e+03,3.694372500000000059e+02,1.763543200000000155e+01,1.967711799999999900e-01,3.434318400000000143e-03,-6.868004899999999706e-06
5.800000000000000000e+01,6.377074099999999817e+03,3.699166200000000231e+02,1.774790600000000040e+01,1.326198600000000061e-01,2.314657400000000049e-03,-6.792479700000000241e-06
5.900000000000000000e+01,6.505229199999999764e+03,3.701449799999999755e+02,1.783602700000000141e+01,8.376551699999999767e-02,1.461985100000000098e-03,-6.122292700000000012e-06
6.000000000000000000e+01,6.603718600000000151e+03,3.702647600000000239e+02,1.790192899999999909e+01,5.152075600000000088e-02,8.992070600000000432e-04,-5.903780699999999994e-06
6.100000000000000000e+01,6.673768600000000333e+03,3.703119599999999991e+02,1.794808000000000092e+01,2.728406699999999865e-02,4.761968300000000097e-04,-5.927104200000000381e-06
6.200000000000000000e+01,6.720265500000000429e+03,3.703279999999999745e+02,1.797734300000000118e+01,1.169115400000000048e-02,2.040491300000000065e-04,-5.552410100000000197e-06
6.300000000000000000e+01,6.746395199999999932e+03,3.703312599999999861e+02,1.799305499999999824e+01,3.631419299999999982e-03,6.338022299999999628e-05,-4.571931399999999776e-06
6.400000000000000000e+01,6.759080100000000130e+03,3.703316899999999805e+02,1.799910200000000060e+01,5.949122600000000035e-04,1.038317800000000062e-05,-2.807428599999999991e-06
6.500000000000000000e+01,6.763546199999999772e+03,3.703317000000000121e+02,1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
