# Untitled0,TW,TE,TAW,TP,RE_over_IN,RTHI,FRD,KCF1,KCF,RCFS,H,HI,FMY,KTHP,THETA_1,DELTA,DELTAstar__1,RE_over_FT,DELTA,N,H,THETA,DELTAstar,X
2.100000000000000000e+01,5.400000000000000000e+02,8.747000000000000455e+02,1.158400000000000091e+03,6.407999999999999545e+02,1.130461000000000000e+06,2.031000000000000000e+03,1.351410000000000000e+00,3.557030000000000136e+00,4.855190000000000339e+00,4.855780000000000207e+00,4.895999999999999797e-01,1.381099999999999994e+00,1.656600000000000072e+00,2.343899999999999872e-01,1.324000000000000090e-03,9.599999999999999159e-03,6.480000000000000300e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,5.400000000000000000e+02,8.737000000000000455e+02,1.158200000000000045e+03,6.405000000000000000e+02,1.131040000000000000e+06,2.031000000000000000e+03,1.350470000000000059e+00,3.556960000000000122e+00,4.851589999999999847e+00,4.852210000000000356e+00,4.912000000000000255e-01,1.381099999999999994e+00,1.596580000000000110e+00,3.114999999999999991e-01,1.324000000000000090e-03,9.599999999999999159e-03,6.509999999999999945e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,5.400000000000000000e+02,8.726000000000000227e+02,1.158099999999999909e+03,6.402000000000000455e+02,1.131625000000000000e+06,2.032000000000000000e+03,1.349509999999999987e+00,3.556820000000000093e+00,4.847819999999999574e+00,4.848480000000000345e+00,4.929000000000000048e-01,1.381099999999999994e+00,1.540370000000000017e+00,3.833400000000000141e-01,1.325000000000000006e-03,9.599999999999999159e-03,6.530000000000000431e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,5.400000000000000000e+02,8.716000000000000227e+02,1.158000000000000000e+03,6.398999999999999773e+02,1.132218000000000000e+06,2.032000000000000000e+03,1.348519999999999941e+00,3.556620000000000115e+00,4.843880000000000408e+00,4.844599999999999795e+00,4.946999999999999731e-01,1.381000000000000005e+00,1.487910000000000066e+00,4.499799999999999911e-01,1.325999999999999922e-03,9.599999999999999159e-03,6.560000000000000076e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,5.400000000000000000e+02,8.705000000000000000e+02,1.157799999999999955e+03,6.396000000000000227e+02,1.132816000000000000e+06,2.033000000000000000e+03,1.347520000000000051e+00,3.556369999999999809e+00,4.839769999999999683e+00,4.840559999999999974e+00,4.964999999999999969e-01,1.381000000000000005e+00,1.462879999999999958e+00,4.800800000000000067e-01,1.325999999999999922e-03,9.599999999999999159e-03,6.579999999999999478e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000000e+01,5.400000000000000000e+02,7.905000000000000000e+02,1.147599999999999909e+03,6.171000000000000227e+02,1.158514000000000000e+06,1.186000000000000000e+03,1.271230000000000082e+00,4.004450000000000287e+00,5.129389999999999894e+00,5.142330000000000290e+00,6.523999999999999799e-01,1.393000000000000016e+00,1.245730000000000004e+00,1.570249999999999924e+00,8.030000000000000028e-04,5.899999999999999863e-03,5.240000000000000517e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,5.400000000000000000e+02,6.705000000000000000e+02,1.132200000000000045e+03,5.816000000000000227e+02,1.139382000000000000e+06,2.141000000000000000e+03,1.148330000000000073e+00,3.517459999999999809e+00,4.055049999999999599e+00,4.088320000000000398e+00,9.223000000000000087e-01,1.372500000000000053e+00,6.319399999999999462e-01,1.015759999999999996e+00,1.626999999999999974e-03,1.319999999999999993e-02,1.500999999999999947e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000000e+01,5.400000000000000000e+02,5.060000000000000000e+02,1.111200000000000045e+03,5.285000000000000000e+02,1.025001000000000000e+06,1.791000000000000000e+03,9.581600000000000117e-01,3.654180000000000206e+00,3.498320000000000096e+00,3.556849999999999845e+00,1.526100000000000012e+00,1.369399999999999951e+00,-2.049600000000000033e-01,2.149550000000000072e+00,1.810999999999999893e-03,1.640000000000000138e-02,2.762999999999999831e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,5.400000000000000000e+02,1.933000000000000114e+02,1.071099999999999909e+03,4.013000000000000114e+02,5.946960000000000000e+05,1.251000000000000000e+03,4.699499999999999789e-01,3.956620000000000026e+00,1.905440000000000023e+00,2.005580000000000140e+00,5.420200000000000351e+00,1.346700000000000008e+00,-4.369600000000000151e-01,2.905590000000000117e+00,4.355000000000000364e-03,6.610000000000000597e-02,2.360299999999999898e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+01,5.400000000000000000e+02,1.618000000000000114e+02,1.067099999999999909e+03,3.846999999999999886e+02,5.385210000000000000e+05,1.082000000000000000e+03,4.037799999999999723e-01,4.089859999999999829e+00,1.720460000000000100e+00,1.868999999999999995e+00,6.633200000000000429e+00,1.343699999999999894e+00,9.310999999999999832e-02,4.834300000000000264e-01,4.845000000000000348e-03,8.160000000000000586e-02,3.213599999999999790e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,5.400000000000000000e+02,1.335999999999999943e+02,1.063500000000000000e+03,3.685000000000000000e+02,4.863510000000000000e+05,7.300000000000000000e+02,3.399900000000000144e-01,4.492350000000000065e+00,1.628830000000000000e+00,1.808610000000000051e+00,8.217000000000000526e+00,1.346600000000000019e+00,1.033099999999999991e-01,4.571700000000000208e-01,4.328000000000000250e-03,8.100000000000000255e-02,3.556299999999999739e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000000e+01,5.400000000000000000e+02,1.097000000000000028e+02,1.060400000000000091e+03,3.535000000000000000e+02,4.408020000000000000e+05,7.980000000000000000e+02,2.821500000000000119e-01,4.396989999999999732e+00,1.364079999999999959e+00,1.524219999999999908e+00,1.015049999999999919e+01,1.335900000000000087e+00,8.004999999999999616e-02,2.611499999999999932e-01,6.257999999999999674e-03,1.343000000000000027e-01,6.352099999999999413e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000000e+01,5.400000000000000000e+02,9.009999999999999432e+01,1.057900000000000091e+03,3.401999999999999886e+02,4.024000000000000000e+05,6.030000000000000000e+02,2.322400000000000020e-01,4.712519999999999598e+00,1.248159999999999936e+00,1.368649999999999922e+00,1.252059999999999995e+01,1.334699999999999998e+00,4.728999999999999870e-02,3.854500000000000148e-01,6.321000000000000230e-03,1.537000000000000033e-01,7.913599999999999801e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000000e+01,5.400000000000000000e+02,7.440000000000000568e+01,1.055900000000000091e+03,3.285000000000000000e+02,3.683660000000000000e+05,5.820000000000000000e+02,1.918499999999999928e-01,4.755550000000000388e+00,1.077409999999999979e+00,1.145669999999999966e+00,1.528139999999999965e+01,1.327199999999999935e+00,2.223999999999999935e-02,3.939500000000000224e-01,8.042000000000000537e-03,2.245000000000000051e-01,1.228869999999999962e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,5.400000000000000000e+02,6.200000000000000000e+01,1.054299999999999955e+03,3.185000000000000000e+02,3.381670000000000000e+05,5.430000000000000000e+02,1.598799999999999943e-01,4.841249999999999609e+00,9.428299999999999459e-01,9.763699999999999601e-01,1.845129999999999981e+01,1.320899999999999963e+00,8.049999999999999864e-03,4.094999999999999751e-01,9.771999999999999437e-03,3.123000000000000220e-01,1.802999999999999881e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000000e+01,5.400000000000000000e+02,5.220000000000000284e+01,1.053099999999999909e+03,3.098999999999999773e+02,3.117240000000000000e+05,5.420000000000000000e+02,1.346600000000000019e-01,4.842170000000000307e+00,8.162399999999999656e-01,8.315599999999999659e-01,2.199500000000000099e+01,1.313399999999999901e+00,1.299999999999999940e-03,3.995099999999999763e-01,1.249499999999999916e-02,4.570000000000000173e-01,2.748309999999999920e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
