# Untitled0,STA_IN,Y_IN,DELR_IN,R_IN,DY_over_DX,D2Y_over_DX2,DA_over_DX,DR_over_DX,MACH_NO,_____DM_over_DX,PE_over_PO,BETA
2.100000000000000000e+01,1.751729999999999954e-01,2.606439999999999868e-01,1.275099999999999931e-03,2.619192000000000187e-01,1.343323999999999907e-01,1.998806700000000047e+00,2.925500000000000149e-03,1.372578999999999882e-01,1.347338099999999983e+00,1.962312999999999974e+00,3.382200000000000206e-01,-7.145700000000000385e-01
2.200000000000000000e+01,1.875759999999999927e-01,2.624650000000000039e-01,1.314999999999999980e-03,2.637802000000000202e-01,1.629848999999999881e-01,2.526304899999999964e+00,3.350899999999999972e-03,1.663358000000000059e-01,1.373952400000000074e+00,2.108126799999999967e+00,3.259299999999999975e-01,-7.592499999999999805e-01
2.300000000000000000e+01,2.006300000000000028e-01,2.648150000000000226e-01,1.360600000000000004e-03,2.661754000000000064e-01,1.989344999999999863e-01,2.794273000000000007e+00,3.761800000000000040e-03,2.026962999999999959e-01,1.400954899999999892e+00,2.140438099999999899e+00,3.138199999999999878e-01,-7.611999999999999877e-01
2.400000000000000000e+01,2.144159999999999955e-01,2.678329999999999878e-01,1.416299999999999894e-03,2.692495999999999778e-01,2.380453999999999903e-01,2.726090199999999797e+00,4.258399999999999859e-03,2.423037000000000107e-01,1.431511100000000036e+00,2.321788900000000044e+00,3.005399999999999738e-01,-8.134400000000000519e-01
2.500000000000000000e+01,2.291739999999999888e-01,2.716480000000000006e-01,1.482599999999999934e-03,2.731306000000000012e-01,2.765245000000000064e-01,2.560037299999999849e+00,5.510100000000000414e-03,2.820347000000000270e-01,1.467439799999999961e+00,2.855610099999999818e+00,2.854999999999999760e-01,-9.815800000000000081e-01
2.600000000000000000e+01,3.763319999999999999e-01,3.388109999999999733e-01,3.790299999999999919e-03,3.426012999999999975e-01,5.838506999999999447e-01,1.682147700000000023e+00,1.876299999999999843e-02,6.026137000000000299e-01,2.505564099999999961e+00,3.808704899999999949e+00,5.802299999999999819e-02,-7.945799999999999530e-01
2.700000000000000000e+01,5.392970000000000264e-01,4.569590000000000041e-01,7.404100000000000265e-03,4.643627000000000171e-01,7.846630999999999467e-01,8.870183000000000373e-01,1.611659999999999829e-02,8.007796999999999832e-01,2.540483399999999836e+00,2.313627000000000045e-01,5.495900000000000091e-02,-7.665199999999999791e-02
2.800000000000000000e+01,7.325129999999999697e-01,6.222379999999999578e-01,9.130100000000000368e-03,6.313682999999999934e-01,8.769633999999999485e-01,2.473113999999999868e-01,1.149099999999999948e-02,8.884543000000000301e-01,2.589100800000000202e+00,2.594539000000000151e-01,5.096799999999999942e-02,-8.353299999999999614e-02
2.900000000000000000e+01,9.596419999999999950e-01,8.271760000000000224e-01,1.242300000000000001e-02,8.395991000000000426e-01,8.716209999999999791e-01,-1.665934000000000026e-01,1.313980000000000009e-02,8.847608000000000139e-01,2.650121500000000019e+00,2.686998999999999915e-01,4.637999999999999762e-02,-1.017300000000000010e-01
3.000000000000000000e+01,1.227902000000000049e+00,1.051279000000000075e+00,1.551759999999999945e-02,1.066796099999999914e+00,7.815995999999999500e-01,-3.462883999999999962e-01,1.175499999999999982e-02,7.933546999999999683e-01,2.722215600000000180e+00,2.635254000000000207e-01,4.150899999999999729e-02,-1.155000000000000054e-01
