# Untitled0,STA_IN,Y_IN,DELR_IN,R_IN,DY_over_DX,D2Y_over_DX2,DA_over_DX,DR_over_DX,MACH_NO,_____DM_over_DX,PE_over_PO,BETA
1.100000000000000000e+01,8.088599999999999957e-02,5.012450000000000516e-01,1.516800000000000006e-03,5.027616999999999781e-01,2.701759999999999926e-02,3.285802999999999918e-01,1.778700000000000029e-03,2.879630000000000037e-02,1.138645899999999989e+00,1.103483400000000003e+00,4.074099999999999944e-01,-6.088200000000000278e-01
1.200000000000000000e+01,8.979900000000000382e-02,5.014990000000000281e-01,1.532900000000000018e-03,5.030316000000000232e-01,2.992349999999999871e-02,3.260287000000000046e-01,1.819000000000000087e-03,3.174249999999999988e-02,1.148695000000000022e+00,1.117836400000000063e+00,4.020099999999999785e-01,-6.142800000000000482e-01
1.300000000000000000e+01,9.874600000000000044e-02,5.017789999999999750e-01,1.549299999999999983e-03,5.033286999999999622e-01,3.284039999999999876e-02,3.278763000000000094e-01,1.838100000000000064e-03,3.467850000000000099e-02,1.158609500000000070e+00,1.098903200000000080e+00,3.967399999999999816e-01,-6.016200000000000436e-01
1.400000000000000000e+01,1.077380000000000004e-01,5.020879999999999788e-01,1.565900000000000061e-03,5.036538999999999877e-01,3.580570000000000280e-02,3.329961000000000171e-01,1.893200000000000048e-03,3.769890000000000047e-02,1.168408300000000066e+00,1.119627200000000045e+00,3.915799999999999836e-01,-6.108599999999999586e-01
1.500000000000000000e+01,1.171009999999999968e-01,5.024380000000000512e-01,1.584099999999999961e-03,5.040217999999999643e-01,3.895509999999999945e-02,3.391507999999999745e-01,1.946299999999999983e-03,4.090150000000000036e-02,1.179183300000000045e+00,1.149398799999999943e+00,3.859600000000000253e-01,-6.245699999999999585e-01
1.600000000000000000e+01,1.266160000000000063e-01,5.028240000000000487e-01,1.602700000000000088e-03,5.044264999999999999e-01,4.220890000000000059e-02,3.425084999999999935e-01,1.975300000000000146e-03,4.418430000000000274e-02,1.190105799999999991e+00,1.139291099999999890e+00,3.803300000000000014e-01,-6.165599999999999969e-01
1.700000000000000000e+01,1.362260000000000137e-01,5.032450000000000534e-01,1.621800000000000064e-03,5.048671999999999604e-01,4.550570000000000309e-02,3.403054999999999830e-01,2.014900000000000024e-03,4.752050000000000024e-02,1.200970400000000105e+00,1.134522299999999984e+00,3.748000000000000220e-01,-6.117099999999999760e-01
1.800000000000000000e+01,1.460289999999999921e-01,5.037080000000000446e-01,1.641799999999999900e-03,5.053495999999999544e-01,4.881409999999999916e-02,3.351663999999999755e-01,2.078800000000000005e-03,5.089289999999999786e-02,1.212131400000000081e+00,1.166582800000000031e+00,3.691699999999999982e-01,-6.266199999999999548e-01
1.900000000000000000e+01,1.562290000000000068e-01,5.042229999999999768e-01,1.663500000000000048e-03,5.058865999999999641e-01,5.220829999999999915e-02,3.325076000000000143e-01,2.134599999999999952e-03,5.434289999999999954e-02,1.224328899999999942e+00,1.187383800000000100e+00,3.631099999999999883e-01,-6.350099999999999634e-01
2.000000000000000000e+01,1.665810000000000068e-01,5.047810000000000352e-01,1.685700000000000046e-03,5.064670000000000005e-01,5.564770000000000133e-02,3.333681000000000005e-01,2.164600000000000031e-03,5.781229999999999702e-02,1.236531800000000070e+00,1.170819899999999913e+00,3.571199999999999930e-01,-6.235399999999999832e-01
2.100000000000000000e+01,1.770980000000000054e-01,5.053849999999999731e-01,1.708600000000000006e-03,5.070936000000000332e-01,5.916550000000000281e-02,3.380800999999999945e-01,2.227400000000000040e-03,6.139290000000000025e-02,1.248759399999999964e+00,1.183982300000000043e+00,3.512000000000000122e-01,-6.281099999999999461e-01
2.200000000000000000e+01,1.879639999999999922e-01,5.060480000000000533e-01,1.733299999999999902e-03,5.077810999999999853e-01,6.287950000000000483e-02,3.454262000000000166e-01,2.304200000000000172e-03,6.518369999999999720e-02,1.261864400000000108e+00,1.219410399999999894e+00,3.449400000000000244e-01,-6.441200000000000259e-01
2.300000000000000000e+01,1.992009999999999892e-01,5.067760000000000042e-01,1.759600000000000053e-03,5.085357999999999823e-01,6.680319999999999314e-02,3.512046999999999808e-01,2.359599999999999892e-03,6.916279999999999650e-02,1.275722100000000081e+00,1.225104900000000052e+00,3.384300000000000086e-01,-6.441000000000000059e-01
2.400000000000000000e+01,2.106699999999999962e-01,5.075659999999999616e-01,1.786899999999999903e-03,5.093524000000000385e-01,7.085489999999999844e-02,3.535179999999999989e-01,2.400600000000000130e-03,7.325550000000000117e-02,1.289677799999999985e+00,1.212308200000000058e+00,3.319699999999999873e-01,-6.345800000000000329e-01
