# Untitled0,TW,TE,TAW,TP,RE_over_IN,RTHI,FRD,KCF1,KCF,RCFS,H,HI,FMY,KTHP,THETA_1,DELTA,DELTAstar__1,N,CH,H,HU,CTH,THU,DSU,X
2.100000000000000000e+01,5.400000000000000000e+02,6.632999999999999545e+02,8.753999999999999773e+02,5.793999999999999773e+02,3.937841000000000000e+06,4.992000000000000000e+03,1.166679999999999939e+00,2.968970000000000109e+00,3.398960000000000203e+00,3.424650000000000194e+00,9.221000000000000307e-01,1.348999999999999977e+00,1.155790000000000095e+00,4.606299999999999839e-01,1.082999999999999978e-03,9.100000000000000450e-03,9.990000000000001049e-04,5.832910000000000039e+00,1.559474000000000027e+00,1.541999999999999968e-03,1.548300000000000067e-03,1.541999999999999968e-03,1.548300000000000067e-03,2.409999999999999816e-03,5.899999999999999689e-01
2.200000000000000000e+01,5.400000000000000000e+02,6.577999999999999545e+02,8.747999999999999545e+02,5.777000000000000455e+02,3.924960000000000000e+06,4.972000000000000000e+03,1.159520000000000106e+00,2.971280000000000143e+00,3.383080000000000087e+00,3.412980000000000125e+00,9.378999999999999559e-01,1.348899999999999988e+00,1.117830000000000101e+00,4.894299999999999762e-01,1.088999999999999907e-03,9.199999999999999845e-03,1.020999999999999989e-03,5.832910000000000039e+00,1.559474000000000027e+00,1.541999999999999968e-03,1.548300000000000067e-03,1.541999999999999968e-03,1.548300000000000067e-03,2.409999999999999816e-03,5.899999999999999689e-01
2.300000000000000000e+01,5.400000000000000000e+02,6.517999999999999545e+02,8.742000000000000455e+02,5.758999999999999773e+02,3.909419000000000000e+06,4.949000000000000000e+03,1.151750000000000052e+00,2.973930000000000184e+00,3.365969999999999906e+00,3.401019999999999932e+00,9.552000000000000490e-01,1.348799999999999999e+00,1.070489999999999942e+00,5.279899999999999594e-01,1.095000000000000053e-03,9.299999999999999239e-03,1.046000000000000055e-03,5.832910000000000039e+00,1.559474000000000027e+00,1.541999999999999968e-03,1.548300000000000067e-03,1.541999999999999968e-03,1.548300000000000067e-03,2.409999999999999816e-03,5.899999999999999689e-01
2.400000000000000000e+01,5.400000000000000000e+02,6.453999999999999773e+02,8.735000000000000000e+02,5.738999999999999773e+02,3.891158000000000000e+06,4.924000000000000000e+03,1.143450000000000077e+00,2.976840000000000153e+00,3.347760000000000069e+00,3.389170000000000016e+00,9.738999999999999879e-01,1.348600000000000021e+00,1.030440000000000023e+00,5.582899999999999530e-01,1.103000000000000031e-03,9.400000000000000369e-03,1.074000000000000085e-03,5.832910000000000039e+00,1.559474000000000027e+00,1.541999999999999968e-03,1.548300000000000067e-03,1.541999999999999968e-03,1.548300000000000067e-03,2.409999999999999816e-03,5.899999999999999689e-01
2.500000000000000000e+01,5.400000000000000000e+02,6.382999999999999545e+02,8.727999999999999545e+02,5.717000000000000455e+02,3.868835000000000000e+06,4.892000000000000000e+03,1.134179999999999966e+00,2.980459999999999887e+00,3.327789999999999804e+00,3.376700000000000035e+00,9.951999999999999735e-01,1.348400000000000043e+00,9.898500000000000076e-01,5.886200000000000321e-01,1.111000000000000008e-03,9.499999999999999764e-03,1.105999999999999995e-03,5.832910000000000039e+00,1.559474000000000027e+00,1.541999999999999968e-03,1.548300000000000067e-03,1.541999999999999968e-03,1.548300000000000067e-03,2.409999999999999816e-03,5.899999999999999689e-01
2.600000000000000000e+01,5.400000000000000000e+02,6.162999999999999545e+02,8.705000000000000000e+02,5.647999999999999545e+02,3.787332000000000000e+06,4.785000000000000000e+03,1.105169999999999986e+00,2.993160000000000043e+00,3.266459999999999919e+00,3.339820000000000011e+00,1.064100000000000046e+00,1.348000000000000087e+00,8.289699999999999847e-01,7.257599999999999607e-01,1.139000000000000038e-03,9.900000000000000813e-03,1.211999999999999970e-03,5.832910000000000039e+00,1.559474000000000027e+00,1.541999999999999968e-03,1.548300000000000067e-03,1.541999999999999968e-03,1.548300000000000067e-03,2.409999999999999816e-03,5.899999999999999689e-01
2.700000000000000000e+01,5.400000000000000000e+02,5.816000000000000227e+02,8.668999999999999773e+02,5.537000000000000455e+02,3.624943000000000000e+06,4.593000000000000000e+03,1.058149999999999924e+00,3.016770000000000174e+00,3.168969999999999843e+00,3.279910000000000103e+00,1.183899999999999952e+00,1.347299999999999942e+00,5.397300000000000431e-01,9.962100000000000399e-01,1.193000000000000050e-03,1.060000000000000005e-02,1.412000000000000061e-03,5.832910000000000039e+00,1.559474000000000027e+00,1.541999999999999968e-03,1.548300000000000067e-03,1.541999999999999968e-03,1.548300000000000067e-03,2.409999999999999816e-03,5.899999999999999689e-01
2.800000000000000000e+01,5.400000000000000000e+02,5.393999999999999773e+02,8.625000000000000000e+02,5.397999999999999545e+02,3.384271000000000000e+06,4.350000000000000000e+03,9.991299999999999626e-01,3.048509999999999831e+00,3.046199999999999797e+00,3.196499999999999897e+00,1.349699999999999900e+00,1.346400000000000041e+00,1.774799999999999989e-01,1.370870000000000033e+00,1.281000000000000021e-03,1.170000000000000033e-02,1.729000000000000068e-03,5.832910000000000039e+00,1.559474000000000027e+00,1.541999999999999968e-03,1.548300000000000067e-03,1.541999999999999968e-03,1.548300000000000067e-03,2.409999999999999816e-03,5.899999999999999689e-01
2.900000000000000000e+01,5.400000000000000000e+02,5.093999999999999773e+02,8.593999999999999773e+02,5.297000000000000455e+02,3.191366000000000000e+06,4.312000000000000000e+03,9.558400000000000230e-01,3.053630000000000067e+00,2.936799999999999855e+00,3.118599999999999817e+00,1.483000000000000096e+00,1.344799999999999995e+00,7.645000000000000406e-02,1.451719999999999899e+00,1.407000000000000048e-03,1.319999999999999993e-02,2.086999999999999880e-03,5.832910000000000039e+00,1.559474000000000027e+00,1.541999999999999968e-03,1.548300000000000067e-03,1.541999999999999968e-03,1.548300000000000067e-03,2.409999999999999816e-03,5.899999999999999689e-01
3.000000000000000000e+01,5.400000000000000000e+02,4.936000000000000227e+02,8.577000000000000455e+02,5.242999999999999545e+02,3.083754000000000000e+06,4.452000000000000000e+03,9.324900000000000411e-01,3.034829999999999917e+00,2.857359999999999900e+00,3.058380000000000098e+00,1.558799999999999963e+00,1.342899999999999983e+00,1.106700000000000045e-01,1.358680000000000110e+00,1.541000000000000052e-03,1.469999999999999953e-02,2.402000000000000055e-03,5.832910000000000039e+00,1.559474000000000027e+00,1.541999999999999968e-03,1.548300000000000067e-03,1.541999999999999968e-03,1.548300000000000067e-03,2.409999999999999816e-03,5.899999999999999689e-01
