# POINT,X_over_YO,Y_over_YO,INT_Y_over_YO,PAR_over_YO,HYP_over_YO,C_Y,C_YI,C_YP
1.200000000000000000e+01,1.406812000000000062e-01,1.000707699999999978e+00,1.819936699999999963e+00,1.000247399999999898e+00,1.000247399999999898e+00,-1.653198999999999919e-01,-2.944019000000000119e+02,-9.897169999999999579e-02
1.300000000000000000e+01,1.525758999999999865e-01,1.000822399999999890e+00,1.820000800000000085e+00,1.000291000000000041e+00,1.000291000000000041e+00,-1.496070999999999929e-01,-2.307822999999999922e+02,-8.636004999999999376e-02
1.400000000000000000e+01,1.646735000000000004e-01,1.000944000000000056e+00,1.820069799999999960e+00,1.000339000000000089e+00,1.000338900000000031e+00,-1.354867999999999906e-01,-1.835695000000000050e+02,-7.492398999999999587e-02
1.500000000000000000e+01,1.770753999999999939e-01,1.001072699999999926e+00,1.820144399999999996e+00,1.000391899999999890e+00,1.000391899999999890e+00,-1.226011999999999935e-01,-1.476415000000000077e+02,-6.446308000000000593e-02
1.600000000000000000e+01,1.898832000000000020e-01,1.001208499999999946e+00,1.820225200000000099e+00,1.000450700000000026e+00,1.000450599999999968e+00,-1.106941000000000036e-01,-1.197386999999999944e+02,-5.491174000000000055e-02
1.700000000000000000e+01,2.031960999999999906e-01,1.001351899999999961e+00,1.820313000000000070e+00,1.000516100000000019e+00,1.000515999999999961e+00,-9.962023999999999879e-02,-9.771471999999999980e+01,-4.623004000000000002e-02
1.800000000000000000e+01,2.171077999999999897e-01,1.001502799999999915e+00,1.820408699999999991e+00,1.000589200000000067e+00,1.000588999999999951e+00,-8.927430999999999561e-02,-8.011099000000000103e+01,-3.837970000000000270e-02
1.900000000000000000e+01,2.317043000000000019e-01,1.001661399999999924e+00,1.820513100000000106e+00,1.000671099999999925e+00,1.000670900000000030e+00,-7.960699999999999721e-02,-6.590646999999999878e+01,-3.135431999999999803e-02
2.000000000000000000e+01,2.470623000000000125e-01,1.001827500000000093e+00,1.820626999999999995e+00,1.000763000000000069e+00,1.000762699999999894e+00,-7.059018000000000237e-02,-5.436538999999999788e+01,-2.532442000000000026e-02
2.100000000000000000e+01,2.632480999999999849e-01,1.002002499999999907e+00,1.820751400000000020e+00,1.000866199999999928e+00,1.000865899999999975e+00,-6.228216000000000308e-02,-4.494248999999999938e+01,-2.060034999999999991e-02
2.200000000000000000e+01,2.803176000000000001e-01,1.002188899999999938e+00,1.820886900000000086e+00,1.000982199999999933e+00,1.000981700000000085e+00,-5.478359000000000006e-02,-3.722308000000000305e+01,-1.721781000000000006e-02
2.300000000000000000e+01,2.983162999999999787e-01,1.002390799999999915e+00,1.821034299999999995e+00,1.001112400000000013e+00,1.001111800000000107e+00,-4.815484999999999904e-02,-3.088457000000000008e+01,-1.512469999999999960e-02
2.400000000000000000e+01,3.172808999999999768e-01,1.002614399999999906e+00,1.821194299999999933e+00,1.001258299999999934e+00,1.001257499999999911e+00,-4.245708000000000121e-02,-2.567130999999999830e+01,-1.381741000000000046e-02
2.500000000000000000e+01,3.372404999999999986e-01,1.002862600000000048e+00,1.821367500000000028e+00,1.001421600000000023e+00,1.001420600000000105e+00,-3.757026000000000115e-02,-2.137796000000000163e+01,-1.309125000000000046e-02
2.600000000000000000e+01,1.293407500000000043e+00,1.036317399999999944e+00,1.842078099999999941e+00,1.020911300000000077e+00,1.020697100000000024e+00,-7.120112999999999963e-03,-3.795117000000000074e-01,-5.043851000000000237e-03
2.700000000000000000e+01,2.519821400000000100e+00,1.142664499999999972e+00,1.904030600000000018e+00,1.079368799999999906e+00,1.076446699999999979e+00,-3.956079999999999840e-03,-5.154262999999999900e-02,-2.689480000000000169e-03
2.800000000000000000e+01,3.982457800000000159e+00,1.357726900000000070e+00,2.032621199999999906e+00,1.198249600000000026e+00,1.181735699999999945e+00,-2.524906999999999846e-03,-1.321010000000000066e-02,-1.628429000000000031e-03
2.900000000000000000e+01,5.758990700000000018e+00,1.736991100000000010e+00,2.298983499999999847e+00,1.414574699999999963e+00,1.352460500000000065e+00,-1.688021999999999960e-03,-4.630351000000000432e-03,-9.813366999999999923e-04
3.000000000000000000e+01,9.991968500000000475e+00,3.043465700000000052e+00,3.991942900000000183e+00,2.247992899999999850e+00,1.869755599999999962e+00,-7.973926000000000538e-04,-1.748158999999999998e-03,-3.533602000000000054e-04
3.100000000000000000e+01,1.508231070000000074e+01,5.141453799999999852e+00,6.849778299999999653e+00,3.843451200000000068e+00,2.585904600000000109e+00,-3.783309999999999798e-04,-8.762591999999999604e-04,-9.068997999999999936e-05
3.200000000000000000e+01,2.172811370000000153e+01,8.291111799999999477e+00,9.894773400000000052e+00,6.901386600000000371e+00,3.578096299999999896e+00,-1.354762000000000024e-04,-2.918077000000000149e-04,4.904249000000000282e-05
3.300000000000000000e+01,3.044783139999999833e+01,1.241984290000000080e+01,1.341061119999999995e+01,1.258838049999999953e+01,4.916986999999999775e+00,5.970732999999999709e-06,-2.912894000000000101e-05,1.082715999999999952e-04
3.400000000000000000e+01,4.169291150000000101e+01,1.739868859999999984e+01,1.740069379999999910e+01,2.272873590000000021e+01,6.667643599999999893e+00,7.354352000000000632e-05,7.351584999999999511e-05,1.212383000000000010e-04
3.500000000000000000e+01,5.593255789999999905e+01,2.264877179999999868e+01,2.181193169999999881e+01,4.010563779999999667e+01,8.900071699999999808e+00,9.976363000000000353e-05,1.045461000000000052e-04,1.133327999999999934e-04
3.600000000000000000e+01,7.360555229999999938e+01,2.781611810000000062e+01,2.660389239999999944e+01,6.872221670000000415e+01,1.168094319999999975e+01,1.025785000000000005e-04,1.056182999999999981e-04,9.697710999999999755e-05
3.700000000000000000e+01,9.511545370000000332e+01,3.274859969999999976e+01,3.167789270000000101e+01,1.140868693000000036e+02,1.507228379999999923e+01,9.452390999999999875e-05,9.576818999999999491e-05,7.976454000000000118e-05
3.800000000000000000e+01,1.207393986000000012e+02,3.770907509999999974e+01,3.695145829999999876e+01,1.832250297999999873e+02,1.911674809999999880e+01,8.267297999999999802e-05,8.310340999999999518e-05,6.486450000000000213e-05
3.900000000000000000e+01,1.506286604999999952e+02,4.272554199999999724e+01,4.229222279999999756e+01,2.846124171000000160e+02,2.383746700000000018e+01,7.077655999999999986e-05,7.090335000000000615e-05,5.299977999999999894e-05
4.000000000000000000e+01,1.848008338999999864e+02,4.775378380000000078e+01,4.760415350000000245e+01,4.278918527000000154e+02,2.923668419999999912e+01,6.023231999999999729e-05,6.025603000000000252e-05,4.372707000000000145e-05
4.100000000000000000e+01,2.231094123000000025e+02,5.281062889999999754e+01,5.276244859999999903e+01,6.232226233000000093e+02,3.529086629999999758e+01,5.136117999999999738e-05,5.136552000000000283e-05,3.651756000000000143e-05
